Species,Population,Lat,Long,Max_SVL,Mass,SVL_Fmat,SVL_hatchling,Clutch_size,n_Clutch_size,Reproductive_mode,Clutch_freq,RCM,Foraging_mode,Distribution,Habitat,Presence_Phylogeny,genus,species
Leposoma_percarinatum,"Cemex, Para, 95",-3.15,-54.83,37,1,24,16.3,1.8,19,Oviparous,1,NA,Active,Tropical,Terrestrial,1,Leposoma,percarinatum
Leposoma_rugiceps,Panama,8.99,-79.53,44,1.8,37,18.1,2.2,NA,Oviparous,1,NA,Active,Tropical,Terrestrial,0,Leposoma,rugiceps
Anotosaura_vanzolinia,"Catimbau, 2013",-8.59,-37.25,50,2.7,38.53,32.62,2,5,Oviparous,1,NA,Active,Tropical,Terrestrial,0,Anotosaura,vanzolinia
Dryadosaura_nordestina,Joao Pessoa,-7.12,-34.86,57,4.2,32.16,41.62,2,6,Oviparous,1,NA,Active,Tropical,Terrestrial,0,Dryadosaura,nordestina
Arthrosaura_reticulata,"Brazil, Amazonas, 1998-1999",-3.52,-59.9,71,8.6,27.5,57.5,NA,NA,Oviparous,1,NA,Active,Tropical,Semiarboreal,1,Arthrosaura,reticulata
Psilophthalmus_paeminosus,"Raso da Catarina, 2012",-9.67,-38.67,34.6,0.7,32.3,26.06,1.9,7,Oviparous,1,0.141,Active,Tropical,Fossorial,1,Psilophthalmus,paeminosus
Micrablepharus_atticolus,Ilha do Bananal,-11.34,-50.33,43,1.6,NA,NA,1.9,13,Oviparous,2,NA,Active,Tropical,Terrestrial,1,Micrablepharus,atticolus
Micrablepharus_maximiliani,"Alto Araguaia, 1989",-17.31,-53.22,44.7,1.4,NA,NA,2,6,Oviparous,1,NA,Active,Tropical,Terrestrial,1,Micrablepharus,maximiliani
Gymnophthalmus_speciosus,Panama,8.99,-79.53,45,1.9,37,18,1.8,NA,Oviparous,2,NA,Active,Tropical,Fossorial,1,Gymnophthalmus,speciosus
Vanzosaura_rubricauda,"Exu, 1977",-7.51,-39.71,45,1.9,NA,NA,2,45,Oviparous,1,NA,Active,Tropical,Terrestrial,1,Vanzosaura,rubricauda
Colobosaura_modesta,"Jalapao, 2002-2004",-10.37,-47.07,55,3.7,47,27,2,3,Oviparous,2,NA,Active,Tropical,Terrestrial,1,Colobosaura,modesta
Iphisa_elegans,"Acre, 1996",-8.26,-72.78,63,1.7,54,27,2,2,Oviparous,1,NA,Active,Tropical,Terrestrial,1,Iphisa,elegans
Meroles_anchietae,"Gobabeb, Nanibia",-23.56,15.04,55,3.9,44,27,1.3,NA,Oviparous,2,0.138,Active,Temperate,Psammophilus,1,Meroles,anchietae
Pedioplanis_namaquensis,"Africa, 1969-1970",-27.03,21.4,56,4.1,53,23,4,5,Oviparous,1,0.165,Active,Temperate,Terrestrial,1,Pedioplanis,namaquensis
Meroles_cuneirostris,"Gobabeb, Nanibia",-23.56,15.04,58,4.6,NA,27.5,2.9,NA,Oviparous,2,0.137,Active,Temperate,Terrestrial,1,Meroles,cuneirostris
Heliobolus_lugubris,"Africa, 1969-1970",-27.03,21.25,65,6.4,56,23,3.9,20,Oviparous,1,0.146,Active,Temperate,Terrestrial,1,Heliobolus,lugubris
Pedioplanis_lineoocellata,"Africa, 1969-1970",-27.03,21.25,67,7,56,19,6.7,40,Oviparous,1,0.187,Sit and wait,Temperate,Terrestrial,1,Pedioplanis,lineoocellata
Takydromus_tachydromoides,"Mito, Ibaraki",36.37,140.47,70,8,42,NA,4.2,NA,Oviparous,2,0.29,Active,Temperate,Saxicolous,1,Takydromus,tachydromoides
Meroles_suborbitalis,"Africa, 1969-1970",-27.11,21.13,71,8.3,51,26,4.2,107,Oviparous,1,0.196,Sit and wait,Temperate,Terrestrial,1,Meroles,suborbitalis
Zootoca_vivipara,Winsley,51.35,-2.29,77,10.6,48,NA,7.7,NA,Viviparous,1,0.4,Sit and wait,Temperate,Terrestrial,1,Zootoca,vivipara
Iberolacerta_monticola,"Sierra de Guadarrama, Segovia Province",41,-3.8,84.6,14,67.3,25.9,6.5,NA,Oviparous,1,NA,Active,Temperate,Terrestrial,1,Iberolacerta,monticola
Podarcis_tauricus,"Kefalonia, Greece",38.18,20.57,91,17.3,52,NA,5.6,NA,Oviparous,2,0.194,Active,Temperate,Terrestrial,1,Podarcis,tauricus
Lacerta_agilis,United Kingdon,53.8,-1.55,114,33.6,55,25,9.5,NA,Oviparous,1,NA,Active,Temperate,Terrestrial,1,Lacerta,agilis
Ameiva_quadrilineata,"Pandora, Costa Rica",9.74,-82.97,88,20,48,NA,2.1,NA,Oviparous,2,NA,Active,Tropical,Terrestrial,1,Ameiva,quadrilineata
Ameiva_festiva,"Pandora, Costa Rica",9.74,-82.97,144,92.4,77,NA,2.2,NA,Oviparous,2,NA,Active,Tropical,Terrestrial,1,Ameiva,festiva
Cnemidophorus_jalapensis,"Jalapao, 2002-2004",-10.37,-47.07,58,5.5,51,35,1,5,Oviparous,1,NA,Active,Tropical,Terrestrial,0,Cnemidophorus,jalapensis
Cnemidophorus_mumbuca,"Dianopolis, 2003",-11.63,-46.82,59,5.8,50,34,1,3,Oviparous,1,0.157,Active,Tropical,Terrestrial,0,Cnemidophorus,mumbuca
Cnemidophorus_nativo,Prado,-17.34,-39.23,69.5,9.6,48.8,30,2.2,37,Oviparous,2,NA,Active,Tropical,Terrestrial,0,Cnemidophorus,nativo
Cnemidophorus_cryptus,"Altamira, 1987",-3.2,-52.21,72,10.7,NA,NA,1.9,15,Oviparous,NA,NA,Active,Tropical,Terrestrial,0,Cnemidophorus,cryptus
Kentropyx_paulensis,Alcinopolis,-18.32,-53.7,77,13.2,72,67,3.5,6,Oviparous,1,NA,Active,Tropical,Terrestrial,1,Kentropyx,paulensis
Cnemidophorus_martyris,San Pedro Martir Island,28.38,-112.33,79,14.3,NA,NA,1.3,NA,Oviparous,2,NA,Active,Temperate,Terrestrial,0,Cnemidophorus,martyris
Kentropyx_vanzoi,Vilhena,-12.74,-60.13,85,17.9,NA,NA,3,2,Oviparous,NA,NA,Active,Tropical,Arboreal,1,Kentropyx,vanzoi
Aspidoscelis_neomexicana,South Central New Mexico,32.87,-107.31,86,18.6,46.7,NA,1.6,NA,Oviparous,2,NA,Active,Temperate,Terrestrial,0,Aspidoscelis,neomexicana
Aspidoscelis_uniparens,"Portal, Arizona",31.91,-109.14,86,18.6,58,36,2.8,NA,Oviparous,2,0.144,Active,Temperate,Terrestrial,0,Aspidoscelis,uniparens
Ameiva_parecis,"Vilhena, 1998-1999",-12.74,-60.13,90,21.4,72,36,1.6,11,Oviparous,1,0.107,Active,Tropical,Terrestrial,0,Ameiva,parecis
Aspidoscelis_sexlineata,University of Kansas Natural History Reservation,38.96,-95.24,91,22.2,55,32,2.1,NA,Oviparous,2,NA,Active,Temperate,Terrestrial,0,Aspidoscelis,sexlineata
