species,id,height_low,height_high,flowerheads_per_plant,floweringstems_per_plant,plant_northing,plant_easting
ARTFRI,91b,7,41.5,1270,20,5192327.126,692659.301
ARTFRI,92b,11,51.5,2380,49,5192326.733,692662.394
ARTFRI,317b,13,26,260,10,5192343.825,692685.486
ARTFRI,318b,21,39,580,17,5192343.78,692685.684
ARTFRI,95b,4,32.5,800,20,5192318.395,692673.242
ARTFRI,96b,7,40,1180,25,5192317.717,692673.831
ARTFRI,97b,9.5,33,900,16,5192318.274,692674.09
ARTFRI,98b,16,30.5,330,15,5192316.087,692674.791
ARTFRI,99b,12.5,39,1940,43,5192315.549,692676.259
ARTFRI,100b,13,32,890,12,5192316.916,692676.785
ARTFRI,324b,4,27,530,22,5192333.338,692694.231
ARTFRI,325b,14,27,140,6,5192334.544,692693.494
ARTFRI,152b,11,20.5,90,3,5192325.171,692694.614
ARTFRI,153b,8.5,24,390,14,5192325.873,692693.298
ARTFRI,154b,10.5,39.5,1930,55,5192326.272,692688.736
ARTFRI,79b,20,30,120,5,5192330.145,692663.3
ARTFRI,80b,3,30.5,670,7,5192329.065,692663.289
ARTFRI,81b,15.5,31,90,2,5192329.305,692662.831
ARTFRI,82b,10.5,39.5,610,12,5192328.533,692663.768
ARTFRI,83b,12,43,600,18,5192328.353,692664.124
ARTFRI,147b,13,27,160,7,5192325.078,692691.075
ARTFRI,148b,16,38,190,3,5192324.793,692693.105
ARTFRI,149b,9.5,17.5,80,2,5192325.304,692689.471
ARTFRI,150b,10,38.5,380,13,5192325.04,692691.968
ARTFRI,151b,13,28.5,70,2,5192325.46,692692.081
ARTFRI,129b,10,24,200,5,5192321.682,692692.109
ARTFRI,130b,9,32,390,9,5192323.236,692687.991
ARTFRI,131b,6.5,20,200,7,5192323.256,692688.183
ARTFRI,132b,12,33.5,480,18,5192323.144,692688.578
ARTFRI,133b,5.5,35.5,580,19,5192322.276,692691.658
ARTFRI,e4,17,32,130,NA,5192323.398,692691.058
ARTFRI,134b,15.5,42.5,400,14,5192322.429,692691.431
ARTFRI,135b,15,33,240,4,5192321.285,692694.797
ARTFRI,84b,18,30,220,5,5192328.316,692663.6
ARTFRI,125b,14,30,70,9,5192321.229,692693.591
ARTFRI,126b,4.5,29.5,470,14,5192322.032,692692.192
ARTFRI,127b,6,11.5,80,3,5192321.913,692692.605
ARTFRI,128b,10,38,470,15,5192321.66,692693.489
ARTFRI,311b,10,34,800,28,5192357.305,692680.361
ARTFRI,312b,6,21,170,7,5192340.975,692677.524
ARTFRI,313b,13,33,400,15,5192340.579,692678.71
ARTFRI,314b,14,46,450,14,5192339.871,692679.742
ARTFRI,155b,10.5,44,830,14,5192325.77,692694.474
ARTFRI,156b,11,28,210,9,5192325.83,692694.92
ARTFRI,121b,15,39,210,3,5192320.624,692692.974
ARTFRI,122b,11,42,720,24,5192320.553,692693.182
ARTFRI,136b,8.5,25,400,12,5192321.213,692695.046
ARTFRI,137b,18,30.5,230,8,5192321.133,692696.104
ARTFRI,138b,18,25,90,2,5192320.767,692697.425
ARTFRI,139b,20.5,31,160,7,5192320.614,692697.548
ARTFRI,310b,20,43,230,4,5192357.875,692679.952
ARTFRI,315b,7,40,580,21,5192343.918,692683.785
ARTFRI,124b,8,21,130,6,5192320.74,692693.846
ARTFRI,93b,7,36,1230,25,5192316.96,692669.042
ARTFRI,94b,7,38.5,1060,21,5192316.079,692669.638
ARTFRI,123b,6,32.5,410,15,5192320.217,692694.156
ARTFRI,158b,7.5,43,480,7,5192327.307,692694.865
ARTFRI,162b,8,35.5,580,8,5192328.277,692688.988
ARTFRI,309b,10,38,1800,44,5192345.083,692666.101
ARTFRI,157b,9,37,680,17,5192327.699,692694.448
